Model Name = ./Graph47/Type47
Number of Nodes = 50
Number of Edges = 96
Specified Probability = 0.035
Model Density = 0.03918367346938775
Model Average Degree = 3.84
Undirected Model Clustering = 0.2632127872127872
Undirected Model Diameter = 5

Model Edges: 
      ['41', '46', '+']
      ['18', '23', '-']
      ['3', '11', '-']
      ['3', '4', '+']
      ['3', '24', '-']
      ['3', '20', '+']
      ['3', '13', '-']
      ['10', '21', '-']
      ['10', '33', '-']
      ['10', '14', '+']
      ['10', '12', '-']
      ['10', '15', '-']
      ['13', '27', '+']
      ['30', '37', '+']
      ['30', '40', '-']
      ['42', '49', '-']
      ['7', '11', '-']
      ['7', '43', '-']
      ['7', '10', '-']
      ['7', '34', '+']
      ['7', '42', '-']
      ['24', '39', '-']
      ['32', '48', '+']
      ['1', '9', '-']
      ['1', '42', '-']
      ['1', '3', '-']
      ['1', '2', '+']
      ['1', '36', '+']
      ['1', '5', '-']
      ['1', '31', '-']
      ['36', '44', '+']
      ['33', '47', '-']
      ['12', '30', '-']
      ['12', '49', '-']
      ['12', '17', '+']
      ['12', '28', '+']
      ['0', '2', '-']
      ['0', '6', '+']
      ['22', '37', '-']
      ['22', '41', '+']
      ['22', '45', '-']
      ['6', '33', '-']
      ['6', '32', '-']
      ['5', '27', '+']
      ['5', '15', '-']
      ['5', '6', '+']
      ['5', '20', '+']
      ['5', '24', '-']
      ['2', '9', '-']
      ['2', '12', '+']
      ['2', '18', '+']
      ['2', '14', '-']
      ['2', '26', '+']
      ['2', '3', '-']
      ['2', '29', '-']
      ['2', '7', '+']
      ['2', '17', '+']
      ['2', '25', '-']
      ['2', '4', '+']
      ['2', '8', '-']
      ['2', '23', '-']
      ['2', '16', '-']
      ['2', '19', '-']
      ['2', '5', '+']
      ['2', '31', '-']
      ['2', '39', '+']
      ['2', '10', '+']
      ['2', '35', '+']
      ['11', '41', '+']
      ['11', '36', '-']
      ['11', '13', '+']
      ['9', '26', '-']
      ['9', '35', '+']
      ['9', '34', '-']
      ['9', '29', '-']
      ['9', '19', '+']
      ['20', '21', '-']
      ['20', '28', '+']
      ['19', '43', '+']
      ['31', '44', '+']
      ['4', '38', '+']
      ['4', '40', '-']
      ['4', '18', '-']
      ['4', '30', '-']
      ['4', '22', '+']
      ['4', '7', '-']
      ['4', '8', '+']
      ['4', '32', '-']
      ['4', '47', '-']
      ['4', '16', '+']
      ['4', '46', '+']
